sgRNA	Gene	baseline_1	fxn_1	baseline_2	fxn_2
sgFAIM2_3	FAIM2	300	237	580	554
sgSTAT1_2	STAT1	591	424	673	587
sgMAN2A2_1	MAN2A2	537	432	1730	1320
sgWASL_1	WASL	362	289	1657	1152
sgRFESD_4	RFESD	1288	1080	3134	2739
sgKIF1C_1	KIF1C	287	176	1345	536
sgZNF287_1	ZNF287	890	1199	1937	1539
sgMRPL48_1	MRPL48	368	502	2887	2147
sgPCID2_3	PCID2	411	381	1276	1206
sgNPRL3_1	NPRL3	521	153	361	511
sgPLBD1_2	PLBD1	951	874	729	639
sgELMSAN1_2	ELMSAN1	188	219	1076	294
sgUNC5D_4	UNC5D	343	561	455	277
sgNRIP1_2	NRIP1	513	771	122	21
sgLONP1_1	LONP1	359	138	284	248
sgZNF415_1	ZNF415	242	81	2440	2011
sgLCORL_4	LCORL	740	865	1930	911
sgKRTAP27-1_1	KRTAP27-1	641	336	6750	2782
sgPDE1B_3	PDE1B	296	232	486	673
sgPDIK1L_2	PDIK1L	1019	1181	4883	3165
sgBLVRA_4	BLVRA	435	537	2335	2366
sgZFAND1_2	ZFAND1	1226	917	426	559
sgIL20RB_1	IL20RB	502	237	2075	1545
sgCSTF1_3	CSTF1	292	340	27	171
sgNICN1_1	NICN1	289	242	430	210
sgHIST1H2AI_3	HIST1H2AI	453	549	4311	2148
sgDNAJB2_1	DNAJB2	457	263	266	194
sgC19orf33_3	C19orf33	266	145	1571	638
sgSARM1_4	SARM1	291	164	555	710
sgOR51A7_1	OR51A7	1032	1434	2987	1995
sgSF3B2_4	SF3B2	173	177	2727	1891
sgSNX8_3	SNX8	234	268	2578	2395
sgNDUFB3_3	NDUFB3	397	289	380	145
sgPPM1G_1	PPM1G	365	239	321	173
sgPTCRA_4	PTCRA	1138	1018	2995	2279
sgDUS4L_1	DUS4L	406	483	1084	924
sgRAB10_1	RAB10	720	666	537	622
sgHBG1_1	HBG1	450	651	3955	3212
sgTMTC1_1	TMTC1	267	326	890	757
sgPPAPDC1A_4	PPAPDC1A	1183	1318	2287	2403
sgSIAH1_1	SIAH1	735	513	3425	2652
sgNENF_4	NENF	1461	1126	891	512
sgARHGAP29_3	ARHGAP29	502	753	2068	1157
sgMBD4_1	MBD4	1016	953	513	454
sgPMS1_4	PMS1	335	109	226	112
sgBHLHB9_4	BHLHB9	185	275	275	88
sgPDXDC1_3	PDXDC1	376	491	646	576
sgCUL9_1	CUL9	110	117	627	260
sgANKDD1A_1	ANKDD1A	466	461	1399	1233
sgZAR1_1	ZAR1	566	656	514	574
sgCERS1_4	CERS1	324	138	3229	1444
sgPPP5D1_1	PPP5D1	553	569	278	284
sgCCDC110_4	CCDC110	890	666	12673	5215
sgISOC2_2	ISOC2	612	565	483	443
sgPOMC_4	POMC	324	348	4084	2228
sgACTR1A_3	ACTR1A	390	386	1193	763
sgADCK5_3	ADCK5	391	516	591	158
sgTOMM20L_3	TOMM20L	638	802	867	665
sgZNF506_2	ZNF506	291	318	486	327
sgLOC101060389_3	LOC101060389	122	219	87	116
sgC10orf113_1	C10orf113	642	622	4613	2653
sgIL3_1	IL3	225	145	246	492
sgCHCHD7_1	CHCHD7	810	830	4273	1934
sgNPC1L1_2	NPC1L1	561	579	168	237
sgPPM1N_2	PPM1N	961	616	2540	1761
sgTNIK_2	TNIK	206	239	34	70
sgKCNE3_2	KCNE3	1122	349	2152	2119
sgADAM2_4	ADAM2	133	138	2374	1547
sgSLC7A2_1	SLC7A2	695	716	1566	1650
sgIGFL1_3	IGFL1	1034	1197	716	599
sgOR52E4_2	OR52E4	490	491	367	139
sgZNF563_3	ZNF563	415	349	463	589
sgLTB4R_4	LTB4R	523	215	987	664
sgPDE4C_4	PDE4C	714	708	2043	1503
sgKRTAP1-5_1	KRTAP1-5	330	630	897	585
sgPIK3C2B_1	PIK3C2B	327	199	1890	1040
sgOR10J3_4	OR10J3	415	321	2223	1058
sgFAAH_4	FAAH	604	893	3436	1958
sgAPOBEC1_4	APOBEC1	258	213	1656	1158
sgTHEMIS2_3	THEMIS2	771	527	931	847
sgOPN4_4	OPN4	255	308	570	747
sgCALM3_1	CALM3	621	257	581	464
sgPIH1D1_2	PIH1D1	230	385	171	204
sgPOMT2_4	POMT2	354	174	296	310
sgRNF185_1	RNF185	221	197	103	115
sgTBC1D5_2	TBC1D5	945	1377	1001	1123
sgGTSE1_4	GTSE1	372	308	338	641
sgLLGL1_4	LLGL1	860	786	2466	2003
sgNEDD1_3	NEDD1	301	195	275	132
sgSPATA16_1	SPATA16	353	243	1855	846
sgTMEM68_3	TMEM68	213	444	1056	665
sgBEND3_1	BEND3	430	632	632	496
sgFAM160B2_2	FAM160B2	1786	1473	2010	1907
sgDYNLT1_4	DYNLT1	430	325	1388	2336
sgPAXIP1_4	PAXIP1	113	181	237	180
sgGNPNAT1_4	GNPNAT1	914	580	550	406
sgHELLS_1	HELLS	465	488	548	634
sgHS2ST1_4	HS2ST1	252	343	80	95
sgRAN_3	RAN	843	443	1755	1037
sgACLY_1	ACLY	122	203	454	641
sgPTRH1_3	PTRH1	537	388	3503	2619
sgNBEAL1_3	NBEAL1	1111	590	6280	2504
sgECHDC1_2	ECHDC1	817	694	1620	1553
sgVPS29_3	VPS29	208	224	3	38
sgPSMD10_1	PSMD10	298	636	4285	3220
sgLRRC14_2	LRRC14	515	202	328	327
sgKIAA0232_1	KIAA0232	1296	648	366	55
sgCASC10_3	CASC10	367	569	2680	2206
sgKRT6A_1	KRT6A	347	372	496	590
sgPROSC_3	PROSC	218	439	2847	1885
sgSUCLA2_2	SUCLA2	381	463	1102	723
sgLIPT1_3	LIPT1	169	109	479	999
sgKCNJ10_3	KCNJ10	858	500	641	916
sgSLC43A3_1	SLC43A3	512	698	547	662
sgMARCH11_1	Mar-11	423	759	826	905
sgACER3_4	ACER3	214	513	1131	336
sgMED4_1	MED4	23	98	3386	1710
sgCFAP57_2	CFAP57	165	254	181	87
sgOR10W1_1	OR10W1	488	257	674	582
sgFAM26E_3	FAM26E	281	408	1787	1709
sgHMGA1_3	HMGA1	426	430	22	185
sgCOX18_3	COX18	546	560	3483	2961
sgEDA2R_3	EDA2R	570	668	54	382
sgCD3E_4	CD3E	843	807	931	745
sgSARS2_3	SARS2	228	229	6	162
sgASNA1_3	ASNA1	398	432	774	714
sgBMX_2	BMX	100	138	484	312
sgINHBC_1	INHBC	436	182	926	943
sgZCCHC10_3	ZCCHC10	757	335	5260	2696
sgTMEM106C_4	TMEM106C	293	335	1287	477
sgBHLHE22_3	BHLHE22	243	197	99	129
sgTMEM174_3	TMEM174	982	831	2273	1522
sgDEFB128_2	DEFB128	265	223	1898	1026
sgBLZF1_4	BLZF1	590	710	1934	481
sgSLC22A18AS_2	SLC22A18AS	435	326	2216	828
sgSNRNP48_3	SNRNP48	169	142	3864	1138
sgFIG4_2	FIG4	722	671	454	481
sgPMP2_3	PMP2	259	164	2339	3549
sgUGT1A8_4	UGT1A8	148	91	1834	1398
sgZXDA_1	ZXDA	164	112	3717	2010
sgGKN2_3	GKN2	142	99	932	584
sgUSP53_4	USP53	554	355	269	452
sgPSD4_2	PSD4	234	99	485	218
sgFAHD2B_3	FAHD2B	750	1026	2965	2082
sgHUWE1_2	HUWE1	217	169	130	142
sgRBAK_2	RBAK	1823	1371	3177	2238
sgAP2S1_2	AP2S1	683	633	1362	1357
sgN6AMT2_4	N6AMT2	425	538	151	165
sgFAM149A_2	FAM149A	154	248	746	817
sgLSG1_3	LSG1	628	841	306	259
sgEPHX1_2	EPHX1	328	408	1562	1027
sgMETTL14_1	METTL14	620	438	506	769
sgRCVRN_1	RCVRN	757	414	1200	1191
sgKCNQ5_4	KCNQ5	210	366	923	573
sgGM2A_2	GM2A	383	472	416	441
sgKRTAP13-1_2	KRTAP13-1	1819	2307	3742	1432
sgSLC11A2_4	SLC11A2	240	242	290	114
sgAPOPT1_4	APOPT1	662	647	302	187
sgPCP4L1_2	PCP4L1	233	267	2157	2008
sgTTC19_3	TTC19	497	347	2128	1870
sgOR10A5_2	OR10A5	700	628	342	682
sgHSPA1L_2	HSPA1L	254	253	619	669
sgNUDT13_3	NUDT13	433	332	3239	2143
sgCCDC120_2	CCDC120	183	436	858	1160
sgCLTC_2	CLTC	377	373	505	252
sgATP6V0D1_1	ATP6V0D1	348	369	517	223
sgFEN1_4	FEN1	548	651	99	218
sgFBXO45_1	FBXO45	528	755	1541	765
sgNHEJ1_3	NHEJ1	306	718	930	408
sgTLCD1_3	TLCD1	576	429	2310	957
sgNDC80_3	NDC80	767	402	86	154
sgDYRK4_2	DYRK4	160	179	241	223
sgTHBS4_1	THBS4	793	771	1356	562
sgPOP5_2	POP5	220	209	533	483
sgTEAD4_2	TEAD4	198	338	2100	999
sgBTBD17_2	BTBD17	394	311	337	381
sgMRPL4_4	MRPL4	454	858	325	388
sgPTPN5_3	PTPN5	1052	955	1316	766
sgDDX21_4	DDX21	217	229	1125	746
sgOR4B1_2	OR4B1	816	846	228	246
sgEBF3_3	EBF3	303	396	4048	3130
sgZFP69_1	ZFP69	552	504	1079	755
sgMAB21L1_3	MAB21L1	595	551	4288	1484
sgPEX5L_3	PEX5L	339	281	3416	2444
sgWDR6_2	WDR6	430	652	1393	1771
sgTAGLN_1	TAGLN	554	403	3310	2800
sgC9orf171_2	C9orf171	505	474	525	287
sgMED21_2	MED21	224	215	700	1246
sgPTTG1IP_4	PTTG1IP	190	259	329	263
sgANKRD23_2	ANKRD23	377	346	1251	1061
sgATP5SL_3	ATP5SL	505	403	2317	2486
sgSEC62_2	SEC62	213	341	6845	4347
sgTRERF1_4	TRERF1	990	411	453	518
sgTRDN_2	TRDN	589	570	981	845
sgATP6V1B2_2	ATP6V1B2	140	8	221	218
sgZNF821_3	ZNF821	301	189	1732	445
sgMETAP2_1	METAP2	635	429	574	638
sgPLXNA4_1	PLXNA4	1093	1427	1994	1870
sgRP1_4	RP1	275	193	1061	1168
sgOR1J2_2	OR1J2	477	301	3352	1154
sgSEC31A_1	SEC31A	441	599	1102	982
sgTTC7A_2	TTC7A	709	773	334	706
sgPTPN11_1	PTPN11	232	289	1024	725
sgMDH1_2	MDH1	760	1022	745	733
sgGJB5_4	GJB5	919	552	1305	1153
sgCPSF3_4	CPSF3	632	535	447	572
sgCIB2_3	CIB2	470	753	1590	832
sgITPRIPL1_3	ITPRIPL1	389	494	600	587
sgIL12A_4	IL12A	381	362	1019	823
sgSLC2A5_2	SLC2A5	654	670	3088	1342
sgHIST1H4B_4	HIST1H4B	1393	1611	190	216
sgPSMG3_3	PSMG3	95	253	136	307
sgZNF311_3	ZNF311	393	539	3763	1302
sgZNF106_1	ZNF106	256	743	298	280
sgNR1H3_2	NR1H3	537	378	183	342
sgMADCAM1_4	MADCAM1	669	300	4051	2290
sgMETTL14_4	METTL14	99	136	1693	791
sgC8A_4	C8A	424	622	1934	1760
sgSHOX2_2	SHOX2	412	471	1877	1050
sgCOL16A1_1	COL16A1	755	885	1533	706
sgEID1_1	EID1	1638	1035	1157	919
sgSSH3_2	SSH3	332	394	553	481
sgBBIP1_1	BBIP1	179	177	3713	2275
sgMTERF1_1	MTERF1	763	993	2117	1395
sgRBBP4_1	RBBP4	81	33	335	158
sgPRPS1L1_3	PRPS1L1	402	254	716	326
sgZNF528_4	ZNF528	331	615	447	432
sgENOSF1_4	ENOSF1	281	536	3950	2776
sgLAMC1_1	LAMC1	226	336	4601	1924
sgNIPBL_1	NIPBL	402	174	271	466
sgS100A12_1	S100A12	381	624	821	937
sgXCR1_4	XCR1	405	378	605	643
sgLDLRAD4_3	LDLRAD4	756	865	5157	2934
sgSNX6_3	SNX6	339	730	397	298
sgPRKG1_1	PRKG1	275	719	1046	882
sgTFG_2	TFG	228	179	1871	966
sgLY6G5B_2	LY6G5B	297	364	440	573
sgRELL1_3	RELL1	574	602	4157	2025
sgKRT15_1	KRT15	708	836	164	232
sgPOU5F1_1	POU5F1	364	290	1358	1056
sgAPOA2_4	APOA2	456	518	2026	860
sgUSP7_3	USP7	202	340	588	1107
sgTOPAZ1_1	TOPAZ1	959	1206	952	411
sgSHISA7_1	SHISA7	698	452	282	197
sgDNAJC24_3	DNAJC24	192	202	501	476
sgHIPK4_2	HIPK4	555	301	574	838
sgTAF1C_3	TAF1C	247	194	938	750
sgUBN1_4	UBN1	803	639	83	182
sgANK2_4	ANK2	598	631	1211	1410
sgSUB1_3	SUB1	501	233	544	271
sgDNAL4_3	DNAL4	345	457	514	225
sgSDF2L1_2	SDF2L1	342	258	769	993
sgMYO3A_1	MYO3A	571	345	1243	542
sgVPS13D_4	VPS13D	520	653	1685	713
sgSTATH_1	STATH	518	644	1835	2685
sgTERF2IP_2	TERF2IP	777	631	7430	4485
sgGTF2H1_4	GTF2H1	252	213	15	14
sgEYA3_4	EYA3	259	268	221	324
sgHNRNPLL_1	HNRNPLL	941	1046	4320	2792
sgCNTNAP3B_1	CNTNAP3B	502	357	1442	403
sgPIAS1_3	PIAS1	80	33	2144	1315
sgANGPTL4_2	ANGPTL4	604	620	3667	2880
sgGPR173_2	GPR173	378	446	4364	2690
sgLCMT2_4	LCMT2	364	534	1589	1154
sgRPTOR_4	RPTOR	158	192	233	344
sgTRIM16_1	TRIM16	411	254	823	1553
sgCTAG2_1	CTAG2	665	710	662	444
sgKCNIP4_4	KCNIP4	542	457	906	922
sgBIRC6_3	BIRC6	816	1449	10920	10899
sgAKAP10_4	AKAP10	1176	866	4893	3249
sgSLC36A1_4	SLC36A1	69	42	654	627
sgGLB1L_4	GLB1L	436	429	1620	1324
sgPER3_3	PER3	942	395	1231	494
sgGTF2IRD2B_3	GTF2IRD2B	238	296	4130	4336
sgIFNA13_1	IFNA13	469	401	478	477
sgOSBPL3_1	OSBPL3	397	174	435	256
sgPIGK_2	PIGK	788	774	1013	834
sgIQUB_4	IQUB	1067	980	1521	850
sgPILRB_1	PILRB	1191	1415	7132	5351
sgSEPT3_2	Sep-03	401	622	4702	1939
sgFKTN_2	FKTN	416	336	1198	1237
sgENTPD5_4	ENTPD5	344	335	2356	1181
sgRHBDF1_3	RHBDF1	403	293	161	448
sgFUT6_3	FUT6	340	198	4455	2576
sgNUS1_3	NUS1	218	218	1275	949
sgFKBP4_3	FKBP4	440	157	607	753
sgAP1G1_2	AP1G1	333	268	406	587
sgCHRM5_3	CHRM5	941	762	8998	7252
sgMAMDC4_1	MAMDC4	1279	1012	3121	2573
sgDDX56_2	DDX56	416	660	851	930
sgGEMIN4_1	GEMIN4	375	373	352	483
sgCYP2C19_1	CYP2C19	286	104	1756	746
sgADCY2_3	ADCY2	637	511	3860	2572
sgATR_3	ATR	156	195	377	303
sgCEP250_1	CEP250	341	512	3877	2253
sgTFAM_2	TFAM	736	1146	527	378
sgIQCA1L_4	IQCA1L	688	455	2512	2724
sgGRIK5_3	GRIK5	764	656	2086	1573
sgKRR1_2	KRR1	334	322	1890	1596
sgSLC9A9_4	SLC9A9	147	226	744	1079
sgR3HDM2_3	R3HDM2	648	396	974	691
sgROPN1L_4	ROPN1L	1318	1057	283	108
sgPM20D2_3	PM20D2	651	722	1377	1171
sgSKIV2L2_2	SKIV2L2	798	322	984	778
sgCLCN6_4	CLCN6	161	468	2213	761
sgERMN_2	ERMN	360	287	1117	487
sgCSTB_4	CSTB	969	1245	822	714
sgRGL1_3	RGL1	496	285	1051	964
sgDPM1_4	DPM1	444	274	74	137
sgC5_1	C5	446	515	1452	957
sgUBE2F_4	UBE2F	466	613	1193	776
sgRUNDC3A_4	RUNDC3A	465	505	359	250
sgDRAM1_1	DRAM1	191	138	2215	922
sgSPANXN2_1	SPANXN2	713	520	1208	1381
sgDPP9_2	DPP9	99	106	2	108
sgOR5B17_3	OR5B17	536	636	260	304
sgTYR_4	TYR	381	305	9001	4290
sgRABGGTA_3	RABGGTA	853	659	1326	1806
sgOPN1SW_2	OPN1SW	1067	1139	6076	4009
sgANGPTL1_3	ANGPTL1	743	605	379	330
sgTXNL4B_4	TXNL4B	220	310	362	170
sgZNF518B_1	ZNF518B	1008	953	1469	1371
sgF2RL2_1	F2RL2	237	17	546	306
sgPDE4B_2	PDE4B	304	403	1804	1598
sgSLC35F6_3	SLC35F6	1104	1222	2542	1593
sgIL1RAP_1	IL1RAP	364	268	1257	867
sgGLTSCR2_3	GLTSCR2	162	477	478	445
sgPOLG2_1	POLG2	203	271	119	130
sgRAB33B_3	RAB33B	181	87	602	497
sgMFAP5_1	MFAP5	149	188	2659	855
sgSLC1A2_2	SLC1A2	286	415	1295	1450
sgFAM71C_3	FAM71C	200	149	787	1129
sgCDH1_2	CDH1	355	400	907	917
sgMSH3_3	MSH3	400	542	104	115
sgFILIP1L_2	FILIP1L	336	219	498	637
sgCALCA_1	CALCA	321	385	780	778
sgNKX1-2_1	NKX1-2	106	111	2461	2539
sgNAA60_3	NAA60	726	910	267	161
sgTFDP2_4	TFDP2	534	381	827	841
sgZFP69_2	ZFP69	278	511	2052	1045
sgFGL2_3	FGL2	301	345	1025	391
sgKCNH5_4	KCNH5	353	299	543	309
sgADORA1_3	ADORA1	246	351	566	545
sgSH3GL1_2	SH3GL1	765	616	700	915
sgCOL1A1_3	COL1A1	532	584	249	126
sgBMS1_1	BMS1	184	197	989	397
sgKRT85_1	KRT85	843	399	1276	1159
sgRGCC_4	RGCC	361	1024	767	675
sgSASH1_4	SASH1	463	483	708	649
sgPLEK2_4	PLEK2	885	1102	739	1881
sgKRTAP9-7_2	KRTAP9-7	108	215	222	262
sgFBXL5_1	FBXL5	604	376	2762	945
sgCHCHD7_2	CHCHD7	514	396	762	472
sgUSP17L20_1	USP17L20	1007	479	2477	1729
sgWDR44_3	WDR44	1125	723	1199	877
sgNPY1R_1	NPY1R	801	711	2158	2797
sgCHRNB4_3	CHRNB4	105	236	640	544
sgIPMK_2	IPMK	535	679	1418	1130
sgRBM10_3	RBM10	787	1184	2641	2658
sgPDAP1_3	PDAP1	460	595	412	440
sgPCDH20_3	PCDH20	228	188	182	220
sgOPRK1_2	OPRK1	810	756	539	632
sgRNPS1_3	RNPS1	606	759	413	399
sgAVPR1B_1	AVPR1B	434	507	2007	1429
sgDHX58_1	DHX58	355	232	387	748
sgPSMA1_2	PSMA1	457	264	625	557
sgRUFY4_2	RUFY4	1030	912	7911	2773
sgKIN_3	KIN	265	444	275	117
sgWSB2_1	WSB2	141	33	233	91
sgLAMTOR1_3	LAMTOR1	953	574	4257	2058
sgTBC1D10B_2	TBC1D10B	256	176	1067	498
sgKCNMB3_3	KCNMB3	329	387	2536	1782
sgKDM7A_2	KDM7A	80	94	1476	609
sgREN_3	REN	499	793	455	351
sgATPAF2_1	ATPAF2	465	714	205	201
sgEPB41L4B_2	EPB41L4B	453	1002	1110	480
sgTCERG1L_4	TCERG1L	802	636	2647	2127
sgRFX5_4	RFX5	322	405	349	521
sgOR6C68_1	OR6C68	360	632	360	379
sgLRIF1_1	LRIF1	156	225	782	374
sgEMX2_1	EMX2	202	264	967	435
sgLRRTM4_1	LRRTM4	793	1012	2549	1388
sgPID1_3	PID1	493	216	1532	514
sgTUBA1B_1	TUBA1B	581	433	330	281
sgRABGGTB_2	RABGGTB	1268	734	1693	1758
sgCSNK2A3_2	CSNK2A3	569	563	2167	2014
sgTTC38_2	TTC38	146	198	8894	6704
sgC5orf55_2	C5orf55	346	495	297	345
sgBMP6_2	BMP6	251	502	483	407
sgSH3GL3_4	SH3GL3	178	211	958	1182
sgHFE_3	HFE	542	379	1267	1322
sgZNF169_2	ZNF169	449	116	1396	757
sgTCP11L2_3	TCP11L2	1024	624	2292	749
sgPARD3B_2	PARD3B	541	363	367	189
sgNSMCE2_1	NSMCE2	687	407	3076	1797
sgPYCR2_2	PYCR2	145	202	332	860
sgCCDC68_4	CCDC68	669	390	404	372
sgIFRD1_4	IFRD1	618	790	3108	3591
sgABHD17A_4	ABHD17A	216	95	7497	2810
sgCHIA_3	CHIA	833	688	387	284
sgZNF182_3	ZNF182	147	29	5597	1254
sgCLEC3B_3	CLEC3B	412	578	988	1291
sgPRIMPOL_2	PRIMPOL	773	722	3888	2295
sgGDF15_1	GDF15	81	109	403	412
sgBEST4_4	BEST4	438	491	174	72
sgCBFB_4	CBFB	264	147	143	273
sgSRRT_2	SRRT	455	465	475	415
sgADH5_4	ADH5	156	52	1151	1180
sgANAPC1_1	ANAPC1	169	288	642	866
sgGTF2F2_2	GTF2F2	188	199	55	93
sgOR2AG1_4	OR2AG1	638	562	2152	1887
sgALKBH8_1	ALKBH8	1125	1698	1996	1719
sgA4GNT_4	A4GNT	1369	886	3541	2747
sgPSMG2_3	PSMG2	254	350	702	331
sgFGFR1_3	FGFR1	494	279	43	60
sgPPP2R3C_2	PPP2R3C	266	426	6894	2367
sgPRR22_1	PRR22	102	86	412	313
sgIFNW1_2	IFNW1	265	266	769	242
sgFAM110C_1	FAM110C	554	317	818	1107
sgSDC2_3	SDC2	314	617	148	159
sgWASH1_1	WASH1	206	104	267	174
sgFGFBP2_4	FGFBP2	390	421	586	680
sgTEX264_2	TEX264	331	515	545	151
sgUBA2_1	UBA2	190	107	188	223
sgTMEM99_3	TMEM99	207	306	681	325
sgPSMC5_4	PSMC5	417	239	605	492
sgRPS4X_3	RPS4X	336	421	38	134
sgBCL2L14_1	BCL2L14	1313	869	753	726
sgZNF385C_4	ZNF385C	165	294	1077	822
sgC2orf66_4	C2orf66	445	246	606	573
sgPRR30_2	PRR30	312	190	1461	1729
sgVPS53_4	VPS53	201	219	290	132
sgFHIT_4	FHIT	420	337	2517	1610
sgCMTM2_4	CMTM2	215	314	2524	1319
sgSCN5A_4	SCN5A	318	537	4122	2597
sgMORF4L1_1	MORF4L1	360	270	3685	1816
sgMANEAL_1	MANEAL	881	1055	1005	1244
sgLCA5L_4	LCA5L	378	97	532	552
sgRIF1_1	RIF1	1048	1111	4041	2323
sgSERTAD4_2	SERTAD4	239	314	2311	1245
sgKIF15_3	KIF15	756	695	2294	1730
sgPOC5_2	POC5	91	185	1955	979
sgWBP5_1	WBP5	561	548	582	517
sgCDK5RAP3_2	CDK5RAP3	490	774	808	560
sgSTK39_2	STK39	432	483	782	4244
sgTCEB1_3	TCEB1	164	303	126	208
sgMLEC_3	MLEC	265	92	914	1653
sgBCL3_3	BCL3	469	245	69	63
sgCYTH3_1	CYTH3	412	429	661	1356
sgCMPK1_3	CMPK1	288	400	381	226
sgF9_4	F9	1220	993	3208	2449
sgMIPOL1_2	MIPOL1	109	265	3023	1197
sgOR2C1_4	OR2C1	616	644	1224	394
sgUBE2S_3	UBE2S	303	383	1216	1102
sgCRISPLD1_3	CRISPLD1	369	536	1140	793
sgLOXL2_4	LOXL2	849	1185	1408	886
sgGTF2H2_2	GTF2H2	219	417	31	12
sgELOVL2_3	ELOVL2	1070	633	662	483
sgDEFB121_1	DEFB121	500	333	467	379
sgRASGEF1A_4	RASGEF1A	109	47	3370	2598
sgABCC5_2	ABCC5	285	310	5221	7028
sgEXO1_3	EXO1	640	472	2065	1023
sgPAH_3	PAH	1203	1293	908	972
sgAKIP1_3	AKIP1	161	37	5704	3267
sgNSMCE4A_4	NSMCE4A	171	264	671	621
sgCLDN6_2	CLDN6	128	179	622	512
sgSPATA31A5_1	SPATA31A5	320	186	1725	1234
sgUTP14C_3	UTP14C	1235	844	1743	774
sgRHBDF1_2	RHBDF1	709	425	1865	1794
sgSHC1_3	SHC1	265	265	3331	3245
sgPSMC1_3	PSMC1	260	502	1611	2796
sgMYOM2_1	MYOM2	640	379	2038	1746
sgFOXN3_4	FOXN3	550	404	418	318
sgTMEM217_2	TMEM217	512	717	475	368
sgLPAR6_2	LPAR6	1385	2275	1445	1276
sgKIF23_4	KIF23	140	170	5	36
sgFNDC9_3	FNDC9	841	377	1589	868
sgLOC100996634_2	LOC100996634	715	373	2405	1259
sgAPOA4_2	APOA4	1113	608	670	580
sgTRUB1_2	TRUB1	625	462	1688	1296
sgPTPRZ1_3	PTPRZ1	266	136	353	367
sgPLOD1_3	PLOD1	1004	866	2466	1895
sgPIAS2_4	PIAS2	270	463	358	399
sgFAM72D_4	FAM72D	414	177	445	727
sgPPP2R4_1	PPP2R4	296	428	345	1080
sgCYS1_1	CYS1	637	993	5307	3162
sgFAM83A_3	FAM83A	610	463	2700	3268
sgSLCO2B1_2	SLCO2B1	316	446	2256	1319
sgGGT7_2	GGT7	611	631	3156	2094
sgAHDC1_2	AHDC1	703	797	489	577
sgASMT_1	ASMT	484	423	1184	1535
sgEXOC3L4_2	EXOC3L4	187	225	316	571
sgCNBP_3	CNBP	211	32	485	727
sgC17orf78_3	C17orf78	382	397	804	363
sgRAB2A_3	RAB2A	176	304	251	133
sgDAP_1	DAP	872	568	2667	2767
sgCDKN1C_2	CDKN1C	960	866	1113	762
sgULK2_4	ULK2	1097	543	1338	1365
sgACTR8_3	ACTR8	788	527	378	203
sgPCDHGA5_2	PCDHGA5	296	243	688	624
sgFGFBP1_4	FGFBP1	451	226	1581	1553
sgUGT1A4_2	UGT1A4	214	352	600	381
sgZCWPW1_4	ZCWPW1	676	842	8860	7914
sgLIX1L_4	LIX1L	391	502	58	63
sgKLF10_4	KLF10	869	486	597	489
sgLPCAT2_2	LPCAT2	1214	458	2875	1403
sgSTRA8_2	STRA8	380	141	378	438
sgPRCD_2	PRCD	1067	553	4308	1559
sgU2SURP_4	U2SURP	761	874	923	756
sgSIX3_3	SIX3	634	494	3777	1412
sgKIAA0825_3	KIAA0825	721	605	318	360
sgATP1A1_1	ATP1A1	1132	865	795	1591
sgATF7_2	ATF7	320	309	1379	846
sgASB3_4	ASB3	186	229	1820	422
sgNCOA5_3	NCOA5	210	239	233	179
sgBMP2K_4	BMP2K	264	320	1302	437
sgHK3_3	HK3	276	397	260	175
sgCRACR2B_4	CRACR2B	209	155	867	768
sgEID2B_1	EID2B	158	385	2305	785
sgUSP17L30_2	USP17L30	507	666	141	216
sgHSF5_4	HSF5	107	269	864	226
sgC9orf116_2	C9orf116	612	514	495	239
sgMEX3C_1	MEX3C	751	1278	1292	1786
sgLEFTY2_4	LEFTY2	421	228	815	299
sgTTC34_1	TTC34	635	364	922	500
sgBTF3_2	BTF3	131	365	51	77
sgGPR61_3	GPR61	391	293	302	440
sgWAC_3	WAC	381	296	1153	614
sgVKORC1L1_2	VKORC1L1	386	290	1520	716
sgTCF24_2	TCF24	670	871	865	1349
sgVAMP3_3	VAMP3	386	479	411	360
sgATE1_1	ATE1	539	520	377	431
sgLYPLAL1_3	LYPLAL1	577	600	999	602
sgDPH5_1	DPH5	668	271	117	401
sgPPIL1_4	PPIL1	321	261	776	816
sgPEX26_3	PEX26	326	277	1360	1710
sgCLDN8_2	CLDN8	477	414	7783	2319
sgH2BFM_4	H2BFM	866	671	953	804
sgZFP64_4	ZFP64	386	377	182	185
sgPMPCB_4	PMPCB	87	113	632	1162
sgSCN4A_1	SCN4A	271	146	590	444
sgDLG4_2	DLG4	241	303	380	689
sgZSWIM3_1	ZSWIM3	544	270	509	268
sgCTH_2	CTH	583	384	712	415
sgSIGLEC7_4	SIGLEC7	456	408	681	500
sgFAM210A_1	FAM210A	202	806	427	213
sgINO80B_4	INO80B	314	450	149	166
sgCHST8_1	CHST8	655	567	838	519
sgSAP30_1	SAP30	483	468	1263	809
sgPHF12_1	PHF12	597	714	2865	1928
sgRPL26L1_1	RPL26L1	1041	1290	1213	826
sgC11orf31_4	C11orf31	279	263	862	345
sgSMTNL2_4	SMTNL2	592	698	974	1666
sgSKIV2L2_3	SKIV2L2	93	47	1673	799
sgSHOC2_1	SHOC2	356	618	357	561
sgBMP10_2	BMP10	313	455	438	568
sgSLA2_2	SLA2	667	379	340	97
sgERICH6_3	ERICH6	361	644	1757	901
sgB4GALNT3_2	B4GALNT3	179	265	120	271
